Review	Helpful Reviews	Not Helpful Reviews	Alpha	IsHelpful(alpha>=0.5)	IsHelpful(alpha>=0.6)	IsHelpful(alpha>=0.7)	IsHelpful(alpha>=0.8)	IsHelpful(alpha>=0.9)
"The first thing i liked on this phone is the display wuth its 18:9 body ratio which will give great video viewing feel. Build quality is good and the back body is metalic but its kind of slippery so a back case provided by xiomi really felt useful. Miui is a great custom skin over android it has some great handy features. Battery backup is pretty good, for me its giving me a full day of battery life & in normal usage im getting 1.5 days. Charging time is between 2 hours. The led notification colour is only white no multi colour led. From a week of usage the didnt got heated even in heavy usage or charging. Overal a great value for money"	46	7	0.867924528	1	1	1	1	0
"awesome mobile, battery backup is also good, average camera quality at this price full view display 5.99 inch , slim phone ever, 4gb ram with 64gb internal no heating problem, best phone ever 12megapixel rear and 5megapixel front camera"	182	43	0.808888889	1	1	1	1	0
this five Stars given for very very fast delivery .up to now didn't use my pH so now i won't give any ratings .. delivery boy is super for his Patience	41	6	0.872340426	1	1	1	1	0
nice mobile long better time not hiring	91	19	0.827272727	1	1	1	1	0
"This is a great phone,battery life,display.i didn't use Redmi note 4 but this phone is rocking.if your budget is 12 k then buy this phone ,highly recommended."	68	13	0.839506173	1	1	1	1	0
"i am happy with this mi product especially display, battery backup, ram, and also back camera too. problems regarding this mobile- sun light display problem, front camera"	45	7	0.865384615	1	1	1	1	0
"Great product by Xiaomi you'll love it ,best phones under 12K"	17	2	0.894736842	1	1	1	1	0
Very fast delivery . ..excellent product super..mi note 5...value for money	55	10	0.846153846	1	1	1	1	0
"amazing product, heavy battery backup up to 2days amazing camera, sexy colour black. super quick delivery. delivered in 15hrs. super big 2.5d glass.thank you flip kart and MI"	48	7	0.872727273	1	1	1	1	0
1)what a delivery...Just in one day after order this mobile..Just awasome... 2) very good looking..light weight..and just like awasome..I just surprised...by this phone..	26	3	0.896551724	1	1	1	1	0
Super product and I am also planning to buy note 5 pro..	83	18	0.821782178	1	1	1	1	0
"Fabulous ... No need to say anything about the phone , awesome performance. But Camera has to be Improved."	57	11	0.838235294	1	1	1	1	0
Redmi note 5 is very good mobile good camera good battery nice display and fingerprint very fast working Awesome (5/5)	21	2	0.913043478	1	1	1	1	1
awesome phone if anybody ask me then go for this phone phone is full of awesomeness	21	2	0.913043478	1	1	1	1	1
Front camera day la ok but night la waste	63	13	0.828947368	1	1	1	1	0
Owsome phone Great features Good looking Fine display Fast processor Smooth touch Great battery backup Clear click camera Slim .	41	7	0.854166667	1	1	1	1	0
camera Super	21	2	0.913043478	1	1	1	1	1
awesome product value for money	97	24	0.801652893	1	1	1	1	0
good phone nice touch selfie camera is good but back camera is ok picture not clear other wise mi have good feachers good battery back up i bought phone to gift my frined he like it thank you filpkart	84	21	0.8	1	1	1	1	0
"Reviewing after 1 month of usage.I have tried to cover every aspects. My review may seem a bit cluttered as I have mixed the pros and cons. So kindly read the whole review. Let's start:- Packaging= Neat packaging by Xiaomi. Inside the box you get the phone itself , black colour translucent back cover , manual , charger , micro usb cable and sim ejector tool. Display= Only thing I can say about the display is ""crisp"". 18:9 aspect ratio looks wonderful and feels like you are holding a high end smart phone Battery= I was using a Lenovo vibe P1 earlier which had a 5000 mah battery and lasted more than 1 and half-day. So I was a bit skeptical about the battery life , as this phone is having a 4000 mah battery. But , it really surprised me. Lasts for about 30hrs with casual usage and with heavy usage it lasts for a day. Sadly Xiaomi haven't included a fast charger which is very disappointing as this phone supports QC 2.0 , If you want one then check in the MI app. Camera= Isn't the best around in its segment. Gets the same cameras as that of the RN4 with some improvements. I feel it could have been way more better. I would say it's ""ok"". Front camera lacks quality and the rear camera performs good in the daylight. However , both the cameras (front and rear) doesn't clicks good quality picture in artificial/indoor lighting.Totally not recommended for camera/selfie lovers. Performance= The Snapdragon 625 has become quite old now and should have been replaced with the newer ones (Atleast with the 626). But that doesn't means it is a bad processor. Thanks to the 4 GB ram , the doesn't exhibit any lag at all. Gaming performance is descent enough. I have played asphalt 8(high graphics) , dead trigger 2 and gangster Vegas on it. No lags , no frame drops. Handles well and the phone doesn't gets much heated. Build quality= Seems good. I personally feel it isn't very durable as it is very sleek and the display looks very very fragile.The case included with the box will not provide any protection from accidental drops.It will just protect the phone's back from getting scratches and will offer some grip. I strongly recommend you to buy a bumper case and a tempered glass. Sensors= Has almost all the sensors one could aspire for in a mid-range phone. Except NFC. UI= MIUI is very engaging , uber responsive and butter smooth. It is one of the main reason for the smooth and lag free experience. However, there is a lot of bloatware. Some of which can be removed. Verdict= Go for it if you are a casual user who doesn't takes much pictures and want a ideal phone. I would say it is a value for money composition. Have a nice day."		9	0	0	0	0	0	0
nice phone	29	5	0.852941177	1	1	1	1	0
A beautiful piece designed and delivered as promised. Feels very light in hand but powerful at performance. Do not hesitate to buy this.	42	9	0.823529412	1	1	1	1	0
Nice Product.... Low price.... Best phone...	117	35	0.769736842	1	1	1	0	0
best mi note 5	61	15	0.802631579	1	1	1	1	0
smooth to use...Display visibility is super... Good battery performance....tq mi	31	6	0.837837838	1	1	1	1	0
Phone is good but disappointed with both front and rear cameras overall this phone is nice in this range	30	6	0.833333333	1	1	1	1	0
Very good	33	7	0.825	1	1	1	1	0
"Amazing phone... Good performance, battery backup, design and display... But need improvement in front camera and ram management.. Only 1.7gb ram is available without installing any apps from playstore... Hope this will solve soon... Really happy with this product... No one can beat redmi phones....."	63	18	0.777777778	1	1	1	0	0
excellent product	8	1	0.888888889	1	1	1	1	0
very good product fast delivery very good mobile nice job	16	2	0.888888889	1	1	1	1	0
starting boot is so lag height is too heavy. I need to stretch my fingers to tap notification bar. sim pin socket is much harder. nice touch nice cam  nice battery free backcover no headset	13	1	0.928571429	1	1	1	1	1
unbelievable build quality ultimate performance awesome camera best in budget	22	4	0.846153846	1	1	1	1	0
its a 1 budget phone by MI .....thanks	33	8	0.804878049	1	1	1	1	0
Oswm phone within the budget.... Love it.. n suggest others to go for it... One negative point is that the length of charging cable is too short...	21	4	0.84	1	1	1	1	0
"The best featured, smooth improved camerab  Just amazing phone"	26	6	0.8125	1	1	1	1	0
Build quality is superb.The performance of the phone is good. The battery life is more than enough....Extremely fast delivery from flipkart.Amazing experience.	11	1	0.916666667	1	1	1	1	1
nic smartphone	60	20	0.75	1	1	1	0	0
thank	21	4	0.84	1	1	1	1	0
excellent phone	14	2	0.875	1	1	1	1	0
"Writing a review on my first Redmi phone.I have bought my Redmi Note 5 on a flash sale and my first impression was with the quick delivery. I am from Kochi, Kerala and I ordered the product on Thursday noon and the phone got delivered on Saturday morning. Even though I was double minded whether to buy this phone or Mi A1 (Coz I was a stock android user before), I finally decided to buy this phone. I was waiting for giving a review on this and I have listed some. Here it goes. Pros :1. Very smooth and faster performance 2. Battery backup is so great. You will get one day backup if u use internet continuously, and if you don't, you will get around 2 days backup. 3. The full screen display and the Full HD + gives you a great experience of watching videos, photos and more. 4. A great phone on this budget and its worth for it. 5. Even though I have seen many negative reviews on camera, I really liked this one. This 12 MP gives me great pictures. (I was a 5 MP camera user, now that's great right?) Cons :1. The 5.9 inch screen was my first bad impression of this phone as i was a 4.5 inch screen user before. It was not handy at the begining but I am used to it now. Still the size is a drawback for me. 2. Pre installed MI apps that cannot be deleted or disabled. It takes a lot of space  3. Will add more once I get more. Final Verdict : Go get your Redmi Note 5 now and if you are a great mobile photographer and wishes to buy dual camera phone, then you can go for Redmi Note 5 Pro. I am happy using this phone PS. I am hereby attaching some images I captured with Redmi Note 5"	29	8	0.783783784	1	1	1	0	0
osm...... mobile overall really good	10	1	0.909090909	1	1	1	1	1
Nice mobile Nice Battery Nice Display Good camera	10	1	0.909090909	1	1	1	1	1
If you have redmi note 4 then don't buy.	32	10	0.761904762	1	1	1	0	0
nice	27	8	0.771428571	1	1	1	0	0
nice product thanks flipkart	6	3	0.666666667	1	1	0	0	0
Fast Delivery... i ordered this product at 28th Feb n i got it on 2nd of March (Today)... This Phone is awesome under 10-12k it looks like Samsung Galaxy S8+ Becoz of the 18:9 aspect ratio... its tooo Slim go for it guys	52	16	0.764705882	1	1	1	0	0
superb phone i very very like this phone its my second phone i was so happy thank you flipkart	20	5	0.8	1	1	1	1	0
"Wow ...good quality phone.. Better than price vise,, RAM and Rom vise ,quality vise vivo v7 and oppo f5 .... fast deliver by flipkart"	29	9	0.763157895	1	1	1	0	0
nice smartphone from mi	15	3	0.833333333	1	1	1	1	0
Simply Awesome. A great phone by redmi. I would like to say thanks and congrats to redmi. A great work done by the redmi team again.	15	3	0.833333333	1	1	1	1	0
CAMERA good enough to click some good snaps. But disappointed by the front camera. MIUI best as always.... Battery good enough for daily usage.... All over its a HIT.	12	2	0.857142857	1	1	1	1	0
great phone camera is very good	12	2	0.857142857	1	1	1	1	0
Super phone but big sizzzzz. Thanks to flipkart for one day delivery.	26	8	0.764705882	1	1	1	0	0
It is the best phone in this range	17	4	0.80952381	1	1	1	1	0
Nice product in this price..	17	4	0.80952381	1	1	1	1	0
good working long last battery good camera	9	1	0.9	1	1	1	1	1
"Redmi note 5 is best mobile under 15000 segment,"	19	4	0.826086957	1	1	1	1	0
"My 1st Redmi Mobile: Note 5 4Gb RAM/64GB model is A Cut above the rest. This is my first Mobile in Redmi Brand. Although I neither saw nor used my hands-on experience with it's predecessor (Redmi Note 4). I used Asus Zenfone 5 for 3.5 years nearly, which was fine initially but used to give out multiple technical glitches - heating up battery, Not able to retrieve any of OTP SMS in case of Mobile Recharge, When I used 3G, battery consumption was almost like Slurping your favorite juice too quickly.. Soon my contacts in Phone App weren't shown up, even if I had to reboot the device for 5-10 times. If lucky with seeing my Contacts, the Battery would get compromised and fall from 100% to 25 % in matter of 20 mins. But on Redmi Note 5 - No such issues..since a week's time. For me the vantage point is I couldn't have gotten the satisfaction, if I had gone for 5000mah ranged mobiles. I liked Big screen, Options for capturing screenshots, User Interface and utmost is No fuss about Heating up battery when I used 3G/4G beyond 25 mins.. 12MP camera is quite satisfactory to me. Hardly, I took any selfies during all these years of using smartphones..Would have been more awesome for a 20+ and 13 Mega pixel range of Rear/Front combination along with 5000mAh battery to make it A cut above the competitors. Overall, I'd rate 4.95 out of 5"	48	5	0.905660377	1	1	1	1	1
Really a dream phone in budget	16	4	0.8	1	1	1	1	0
Mobile very nice and compared to note 4 it's slim...	45	20	0.692307692	1	1	0	0	0
"Good phone at this price. Delivery never on time, this was bought as a gift, but received after the occasion. flip kart customer care response not satisfactory."	14	3	0.823529412	1	1	1	1	0
I tried hard for Pro but was not lucky enough to lay my hands on this.The next best choice was Note 5.I have been using it for last one week. No issues at all.	13	3	0.8125	1	1	1	1	0
Very nice product with good camera and slim design	13	3	0.8125	1	1	1	1	0
Happy to have this with good battery backup and slim design	15	4	0.789473684	1	1	1	0	0
Completely satisfied...it's an awesome phone in this budget thank u MI to make these type of products for Indian mkt. world class product standard with excellent service of flipkart. keep going with same idea...	19	6	0.76	1	1	1	0	0
awesome slim design and good camera with good battery backup	8	1	0.888888889	1	1	1	1	0
Nice Mobile	8	1	0.888888889	1	1	1	1	0
phone over heating issue So please don't buy and flipkart customer care not helpful u so...don't buy	182	115	0.612794613	1	1	0	0	0
You can use this phone like a transformer or battery can use like a power bank screen use like a full HD led TV sound like a good quantity of base and I think prise of the phone is little low of budjet	29	12	0.707317073	1	1	1	0	0
very nice mobile.. battery awesome.. no heating issue.. not satisfied with the camera... otherwise everything is fine...	11	2	0.846153846	1	1	1	1	0
Back Camera is not like I was expected. Sound is good. Its is little bulky phone. Selfie is good. Flipkart delivery is awesome...I ordered this product on its first sale and get it in 2days.	18	6	0.75	1	1	1	0	0
"Very fast delivery, I am very happy. The phone is also very nice. Battery backup thums up.Display is also superb, I like it very much. If you plan to buy this phone then order it soon,believe me,xiaomi is the king of smartphone"	47	23	0.671428571	1	1	0	0	0
Very nice product!!!! but not reach my expectations from Xiaomi...... Battery 9/10 Display 10/10 Performance 9/10 Camera 7/10 *No heating problem(comparing with note4) #hanging some times #not feeling like a 4gb ram phone..... experience like using 2gb ram phone especially while playing games.....###anyway the phone is really nice and got the product before expected delivery date gud job Flipkart.....!!!	16	5	0.761904762	1	1	1	0	0
wow nice a complete phone I am impressed.	83	49	0.628787879	1	1	0	0	0
poor service... requested for refund of the product.. C's madam took for replacement ... called technician... technician person assured that he will be coming ... but . he lied me ... poor service... not customer friendly... ... from today onwards I won't be using Flipkart... i ll be deactivating Flipkart....no 1 from the Flipkart doing the right duty... and Flipkart Moto is to make millions into billions... from a unhappy customer thanks Flipkart	43	22	0.661538462	1	1	0	0	0
Wow amazing phone in this price. Superb feel in hand. Feeling like 22000 price range phone. Good both camera. Super flash light. I like Mi. Golden mobile center. Hariharganj.slim design and good camera with good battery backup	19	2	0.904761905	1	1	1	1	1
Nice shipment There isn't any issue .I request to all the people who wanna buy it	15	5	0.75	1	1	1	0	0
very nice phone.quality meets money.	7	1	0.875	1	1	1	1	0
It's looks like most beautiful	11	3	0.785714286	1	1	1	0	0
Nice phone Delivery very fast	11	3	0.785714286	1	1	1	0	0
very good performance in software and hardware very good Mobile and camara is good quality and good bulit aluminum metal body. and 18:9 display very nice good contraction and sharp dispaly.slim design and good camera with good battery backup	9	1	0.9	1	1	1	1	1
Excellent phone	9	2	0.818181818	1	1	1	1	0
Best batree backup phone	4	2	0.666666667	1	1	0	0	0
This is my 4th mobile of MI . But I always fked with his noise cancellation it never worked. Any one can recognise where are you cuz your listener always get higher noise then your voice . I'm very upset cuz MI is the 2nd largest mobile manufacturer in China and highest selling company in India and still having this type of issue .	24	12	0.666666667	1	1	0	0	0
"The phone is great, amazing display. Screen size is big, it has many features."	10	3	0.769230769	1	1	1	0	0
"Ok not a best one as defined, camera was not as they defined, other things battery compare to mi note4 note5 was low in performance. Note 4 is best"	10	3	0.769230769	1	1	1	0	0
"Mi Phones have very low class parts.I Purchased Redmi Note 5 on May 2018. after 2 months phone got hanged. I went to service centre at Gole Market New Delhi. They said your phone have Liquid Damage and New board expenses will be round about 9000, I shocked. There are many customers who had same problem and their phone was new. i cared my phone very much and I never use phone during rain so how it happened. I called customer care also and told about cheating happened with me but they did not helped me. They said that you have to pay for repair your phone. After that I decided that I will never purchase redmi phone. Guys I had written this review that you be careful when you purchase redmi phone."	27	15	0.642857143	1	1	0	0	0
Average performance	13	5	0.722222222	1	1	1	0	0
Product is very good.. But delivery is very worst...	8	2	0.8	1	1	1	1	0
very nice phone  (Redmi note 5)	8	2	0.8	1	1	1	1	0
Bad product	8	2	0.8	1	1	1	1	0
Nice product on this reng Mi u r Great	8	2	0.8	1	1	1	1	0
Hanging a lot and touch is not smooth	44	29	0.602739726	1	1	0	0	0
"This my first MI note 5 phone this phone reallity is camera is good battery backup alos very good display & good performance ,,,,,,......slim design and good camera with good battery backup"	9	1	0.9	1	1	1	1	1
Display classic!Camera... speechless Battery ...16 hrs backup for rough use...tnxx mi for such a wonderful product...	6	1	0.857142857	1	1	1	1	0
excellent phone and very fast delivery	6	1	0.857142857	1	1	1	1	0
It is a good phone	6	1	0.857142857	1	1	1	1	0
Heating when charging... Also Headset sound Output not good as Mi A1 Camera is also not so good like Not a much difference from Note 4...slim design and good camera with good battery backup	50	20	0.714285714	1	1	1	0	0
battery is not good as Redmi note 4. back side design of the phone is not as attractive as the previous version (Redmi note 4).	14	6	0.7	1	1	1	0	0
Phone looks awesome.light weight.no heating issues.good battery back up. But camera is very very worst.both front and back camera clarity looks like 2 mp camera or VGA.didnt expect from MI for this camera in this price range.will get better camera phone in 7 to 8 k range .kindly fix this camera issues	39	29	0.573529412	1	0	0	0	0
good	7	2	0.777777778	1	1	1	0	0
"Reviewing it after used for 2 weeks Pros- 1. Solid build quality feel premium in hand 2. Screen size is big 18:9 aspect ratio display and perfect and screen resolution 2160?1080 FHD is superior, bright and comparable with samsung and htc high-end mobile.3. Storage is good 64gb inbuilt and 4 g.b ram plus expandable up to 128 gb 4. Picture quality of back camera is magnificent. 5. Battery is 4000 mAh and last up to 1 day with full use .Cons - 1. Front camera picture quality is not that good and unsatisfactory . Overall it's excellent and value for money mobile and highly recommended."	15	8	0.652173913	1	1	0	0	0
I am very happy to joined MI family.Nice mobile . Good battery packup . Back camera giving very good pictures . Front camera awsome. Good sound . Mainthing there is no heating issue while we are playing big games . There is no lag . I am satisfied with my redmi note 5 Best mobile below 10k . U can go for this	15	8	0.652173913	1	1	0	0	0
loving the handset. was in desperate need of a phone as my old one was not functioning properly and it was slow. as all my work happens majorly on the phone this has speeded up my work and efficiency. worth the money and price	6	1	0.857142857	1	1	1	1	0
"best quality mobile nice look , best battery backup...slim design and good camera with good battery backup"	5	1	0.833333333	1	1	1	1	0
good mobile	8	3	0.727272727	1	1	1	0	0
nice color	8	3	0.727272727	1	1	1	0	0
"I was using the mi4i for last 2.5 years and after using the Redmi note5 for a week now, I could definitely tell that they are doing everything rite at least wid their products. Superb in all departments and addition of 18:9 bezel. And at wat wat price.Battery, camera, processing speed and memory size. All at par. Only sad story is the sale part. Every1 can't get hold of it."	8	3	0.727272727	1	1	1	0	0
Front camara is 5 mp in 12 k phone This is money west phone	36	32	0.529411765	1	0	0	0	0
"It's little hanging, and back button 2 times has to press"	6	2	0.75	1	1	1	0	0
this is good at all..but after i open the gallery it may take a large time to load the photos there for i dont like the phone...if u have then u exchange my phone with this same other mi note 5 of no complaints...dont eject me i want a other same phone not this...if you are a trested company	6	2	0.75	1	1	1	0	0
got my redmi note 5 within 2 days. as usual MI mobile is worth for money.	6	2	0.75	1	1	1	0	0
charger not working and good battery backup	6	2	0.75	1	1	1	0	0
Camera is not good that expect...	6	2	0.75	1	1	1	0	0
this is the best phone I had ever used	6	2	0.75	1	1	1	0	0
best sailing	13	9	0.590909091	1	0	0	0	0
"excellent mobile but due to weather heat ,it will go to higher temperature then the actual temperature at nature temperature"	24	20	0.545454546	1	0	0	0	0
Mast phone ...no competition any company's...competition only redmi note 5pro ...	7	3	0.7	1	1	1	0	0
Good	7	3	0.7	1	1	1	0	0
Delivery though was late by 1 day. But Thanks Xiaomi and Flipkart who managed to give me this smartphone in that flash sale. An excellent communication skills was provided by flipkart customer care and their services. Im really satisfied with their behaviour and my feedback for them is very good. Thanks Team Flipkart for making it possible. And talking about the phone. Its too smooth to handle. The blue variant of mine is liked by all and mee too. And No doubt its INDIA'S ALL ROUNDER. Go for it guys.	8	4	0.666666667	1	1	0	0	0
redmi note 4 is better than redmi note 5	10	6	0.625	1	1	0	0	0
Good...slim design and good camera with good battery backup and price is good	11	7	0.611111111	1	1	0	0	0
Super	11	7	0.611111111	1	1	0	0	0
fit in pocket good look good camers noce processor totally good product	4	1	0.8	1	1	1	1	0
excellent phone. these is my 3rd MI phone in one year. i have purchased for all members. excellent performance.	4	1	0.8	1	1	1	1	0
netwark problem	4	1	0.8	1	1	1	1	0
not good	4	1	0.8	1	1	1	1	0
Technician lied that problem is resolved. No one called to cross check from flipkart whether problem is resolved.. I was waiting for call as technician also marked in defect column problem persists.	4	1	0.8	1	1	1	1	0
good profamce.. good pricing n all features best..	4	1	0.8	1	1	1	1	0
Just awesome...	4	1	0.8	1	1	1	1	0
fast delivery from filipkart ...good product..... and good battery backup	4	1	0.8	1	1	1	1	0
It's bad phone.camera is not so good. Touch not work properly. Battery capacity and performance is low	14	11	0.56	1	0	0	0	0
Redmi note5 super mobile good battery back up high image quality Snapdragon processor nice..	6	2	0.75	1	1	1	0	0
Super big screen	5	2	0.714285714	1	1	1	0	0
camera is good quality photo shoot. I like it	6	3	0.666666667	1	1	0	0	0
Too good mobile phone good battery backup	6	3	0.666666667	1	1	0	0	0
"This phone is definitely for people who love gaming and love to watch movies,Ive used this device for about a month and I was not able to make this phone lag, I played many big games like PUBG , Asphalt,PES, no lag at all, camera quality is above average and if you are a photo inthusiast please go for note 5 pro, battery life is literally killing it in this device it can even last for 2 days on moderate usage and a day on extensive usage,looks are really killing and screen looks Beautiful and the built quality is awsm and makes it feels really good to hold. Overall this device is really a good deal and mi lives up to its name in this device as well."	6	3	0.666666667	1	1	0	0	0
Very fast delivery 1day	6	3	0.666666667	1	1	0	0	0
phone : 3.5/5 pro : big screen better battery life bright display good camera front flash super fast finger print reader cons : no removable battery no dual camera hybrid sim slot speakers not too loud shuts down on its own without any warnings. Flipkart delivery : 2/5	13	11	0.541666667	1	0	0	0	0
very bad product	19	19	0.5	1	0	0	0	0
A budget phone with all the features within range. Back camera is very good. Front camera is average. Screen size is very good with an hd display. With 4 GB Ram the processing is fast and smooth. Charging is very fast in this phone. Overall very good phone under 12k budget.	24	7	0.774193548	1	1	1	0	0
compare with redmi note 5pro it is bad	10	8	0.555555556	1	0	0	0	0
vAlue for money	8	5	0.615384615	1	1	0	0	0
"(CONS/DEFECTS FOUND) 1. IF YOUR PHONE SCREEN IS ON, From the earpiece you will hear a strange buzz noise (coming out of it).Its present in both the devices{RN5 & RN5 Pro}. It can only be heard when you keep close your ear to the earpiece(as a calling posture). Why guys?? why this issue. It was also present in REDMI 3s Versions. and now again. 2. Camera is VERY VERY BAD. At daylight u will get good pics(not that sharp compared to RN4) but in low light conditions it sucks. Noise Level is so high... the 5 MP camera looks like VGA quality. 3. Battery backup not good after the update. it hardly lasts in 4G connectivity. That all..On the other hand: (PROS) good display, good viewing angles, good speaker output, call quality is good, touch response is average, UI looks awsome, RAM Management is Good. Games runs smooth without lag but in GTA Sandreas(game) i found some little frame drops at highest quality. Other games like Asphalt 8, NFS Most wanted, MC5, etc...runs good. OVERALL REVIEW IS THAT ITS NOT A GOOD ALL ROUNDER AS IT MENTIONED. ITS STILL HAVE BUGS/ISSUES/QUALITY ISSUES...Wish it would be fixed by software updates in the near future."	29	41	0.414285714	0	0	0	0	0
Good product But Network fluctuating continuously....	6	4	0.6	1	1	0	0	0
"Awesome phone. Loved the screen size, coming from 16:9 ratio screen to 18:9 is really refreshing. Phone is easy to hold in one hand and good for media consumption. Loved the blue colour that I got. Earlier I was worried about how the new screen factor and colour would look like but its just amazing. Using it for my work and I have to say the performance is butter smooth. Love Mi.slim design and good camera with good battery backup"	16	4	0.8	1	1	1	1	0
i ordered a redmi 5 64 GB. i got the phone but 1 sim is not working at all. it is a dual sim phone. Flipkart service sucks and nobody is even taking the responsibility. They should learn from Amazon.	5	3	0.625	1	1	0	0	0
your black colour my choice in camera 20 megapixel front is my choice MI note 5 megapixel	3	1	0.75	1	1	1	0	0
Thank you mi nice product battery backup - awesome camera - 10/10 display - 10/10 look - 10/10 processor - 10/10 sond - 10/10 classical overall good perform	3	1	0.75	1	1	1	0	0
"very bad , worst , money waste , i got soap in place of mobile , not replacement , money not refunded"	3	1	0.75	1	1	1	0	0
the product is a complete value for money.. good experience with the phone...battery can be a problem in the long run.. and Mi remote app is not working properly	3	1	0.75	1	1	1	0	0
good battery good performance ok camera	3	1	0.75	1	1	1	0	0
Good product go through it front camera 8|10 rear camera 9|10 battery backup 8|10(1.5 days only) sound system 10|10 display 10|10( based on theme ) stylish 10|10	3	1	0.75	1	1	1	0	0
Good one .....	3	1	0.75	1	1	1	0	0
I am fully happy	3	1	0.75	1	1	1	0	0
Wow super good looking mi Thnx very much to flipkart vry fast delivery	3	1	0.75	1	1	1	0	0
not good phone	4	1	0.8	1	1	1	1	0
nice phone good battery backup smooth working and a sexy look	4	2	0.666666667	1	1	0	0	0
Awesome product....Could have been added fast charger option	4	2	0.666666667	1	1	0	0	0
"I purchase mi note 5 mobile last 1 month,but my phone was getting problem,when I am talking automatically call was disconnecting i don't know what the issue that to voice also not visible.. can u plz help me anybody"	10	11	0.476190476	0	0	0	0	0
Flipkart didnt help me till now	6	5	0.545454546	1	0	0	0	0
superb performance #nice battery backup good camera	4	4	0.5	1	0	0	0	0
Screen is too big. Skippy too. Battery backup is excellent. Display quality can be better	15	23	0.394736842	0	0	0	0	0
"This is the apt example for Bang for the Buck. I would say the only downside are the cameras. Both the front and rear are not upto the level. Performance is as expected, not mind-blowing, but good for the price. Build is solid, display is crisp, storage and ram are more than enough. Exceptional value for money. Go for it guys."	4	3	0.571428571	1	0	0	0	0
first time i feel redmi phone with low quality. veey bad camera in this range. price 12000 is too high for this feature. worst camera (both). redmi 5a (5000rs) camera is better tham note 5.	4	3	0.571428571	1	0	0	0	0
Camera quality worst heating problem	6	7	0.461538462	0	0	0	0	0
"Good camera, display & sound quality"	3	2	0.6	1	1	0	0	0
If it has android one that will be really handsome. Anyhow happy for worth	3	2	0.6	1	1	0	0	0
Slow INTERNET	4	4	0.5	1	0	0	0	0
